M D Y: 11 03 2025
14:31:18:169263 Gateway 0, reading I: USB: Baudrate detected: 115200
14:31:21:789497 Gateway 0, sending b'HYP\xff\xff\xff\xff\xff\xff\t\xbb\xff\xff'
14:31:21:890191 Gateway 0, reading I: Start BLE Scanning
14:31:21:890191 Gateway 0, reading I: BLE: Scanning Started!
14:31:22:594813 Gateway 0, reading I: BLE: Connected: E1:15:12:97:36:11 (random)
14:31:24:705487 Gateway 0, reading I: BLE: Discovery Complete!
14:31:25:914175 Gateway 0, reading I: BLE: Connected: CD:61:D3:52:14:02 (random)
14:31:28:028024 Gateway 0, reading I: BLE: Discovery Complete!
14:31:29:234617 Gateway 0, reading I: BLE: Connected: E1:D7:29:7F:A1:4C (random)
14:31:32:056066 Gateway 0, reading I: BLE: Discovery Complete!
14:31:33:867082 Gateway 0, reading I: BLE: Connected: DC:E2:06:B6:30:BC (random)
14:31:36:184096 Gateway 0, reading I: BLE: Discovery Complete!
14:31:41:897711 Gateway 0, sending b'HYP\xe1\x15\x12\x976\x11\x03\xaa\xff\xff'
14:31:42:400110 Gateway 0, sending b'HYP\xcda\xd3R\x14\x02\x03\xaa\xff\xff'
14:31:42:902479 Gateway 0, sending b'HYP\xe1\xd7)\x7f\xa1L\x03\xaa\xff\xff'
14:31:43:406068 Gateway 0, sending b'HYP\xdc\xe2\x06\xb60\xbc\x03\xaa\xff\xff'
14:31:44:126805 Gateway 0, reading W: Send CMD Flag - PPS Timeout
14:31:46:239709 Gateway 0, reading W: Send CMD Flag - PPS Timeout
14:31:48:451863 Gateway 0, reading W: Send CMD Flag - PPS Timeout
14:31:50:667046 Gateway 0, reading W: Send CMD Flag - PPS Timeout
14:32:12:969116 Gateway 0, sending b'HYP\xe1\x15\x12\x976\x11\x03\xaa\xff\xff'
14:32:13:472868 Gateway 0, sending b'HYP\xcda\xd3R\x14\x02\x03\xaa\xff\xff'
14:32:13:974934 Gateway 0, sending b'HYP\xe1\xd7)\x7f\xa1L\x03\xaa\xff\xff'
14:32:14:478655 Gateway 0, sending b'HYP\xdc\xe2\x06\xb60\xbc\x03\xaa\xff\xff'
14:32:15:206509 Gateway 0, reading W: Send CMD Flag - PPS Timeout
14:32:17:321559 Gateway 0, reading W: Send CMD Flag - PPS Timeout
14:32:19:532447 Gateway 0, reading W: Send CMD Flag - PPS Timeout
14:32:21:744105 Gateway 0, reading W: Send CMD Flag - PPS Timeout
14:32:26:373821 Gateway 0, reading I: PPS DETECTED
